序号,元件类型,型号/料号,品牌/厂家,封装/尺寸,规格参数,位号,数量,单价(¥1000pcs),小计(¥),购买渠道,数据手册链接,备注
1,主控SoC,UIS8910DM,展锐UNISOC,LGA 9.6×9.6mm,Cat.1 LTE+BLE5.0+GNSS集成PMU/充电/音频,U1,1,28.00,28.00,立创商城/芯智云,https://www.unisoc.com,展锐8910三合一SoC;内置PMU含充电管理无需外挂PMIC;内置GNSS无需外挂GPS模块
2,SPI NOR Flash,GD25Q127CSIG,兆易创新GigaDevice,SOP8-208mil,128Mbit(16MB) SPI 3.3V 104MHz,U2,1,2.80,2.80,立创商城C97939,https://www.gigadevice.com/datasheet/gd25q127c/,存放固件和用户数据;UIS8910必需外挂
3,RF前端PA,SKY77912-11,Skyworks,MCM 3.0×3.0mm,LTE B1/B3/B5/B8多模多频PA+开关,U3,1,4.50,4.50,立创商城/云汉芯城,https://www.skyworksinc.com,展锐8910推荐配套RF前端
4,国产RF前端替代,HS8910RF,汉天下/Huntersun,QFN 3×3mm,兼容SKY77912 Cat.1 FEM,U3-alt,0,3.20,0.00,1688/淘宝,https://www.huntersun.com.cn,国产低成本替代方案(可选)
5,TCXO温补晶振,DSB321SDN 26MHz,NDK/KDS,3225(3.2×2.5mm),26MHz ±1.5ppm 1.8V,X1,1,4.50,4.50,立创商城/淘宝,https://www.ndk.com,系统主时钟;精度要求≤±2ppm保证GPS锁定
6,TCXO国产替代,OT252026MJBA4SL,扬兴YXC,2520(2.5×2.0mm),26MHz ±1.5ppm 1.8V,X1-alt,0,2.50,0.00,立创商城C2837468,https://www.yxc.hk,国产低成本替代(可选)
7,加速度计,LIS3DHTR,意法半导体ST,LGA-16 3×3mm,3轴±16g I2C/SPI,U4,1,2.20,2.20,立创商城C68747,https://www.st.com/resource/en/datasheet/lis3dh.pdf,运动检测/敲击唤醒/自由落体检测
8,加速度计国产替代,QMA7981,QST上海矽睿,LGA-12 2×2mm,3轴±16g I2C超低功耗0.5μA,U4-alt,0,1.20,0.00,立创商城C2157932,https://www.qstcorp.com,国产低成本替代更小封装(可选)
9,GPS陶瓷天线,ANT1575SMD-10×3,佳邦WALSIN/Yageo,SMD 10×3×1.5mm,1575.42MHz 2dBi 50Ω,ANT1,1,1.80,1.80,立创商城/淘宝,https://www.walsin.com,UIS8910内置GNSS接收机;天线直接馈入
10,GPS SAW滤波器,B39162B4346P810,Qualcomm/EPCOS,1109(1.1×0.9mm),1575.42MHz 插入损耗≤1.5dB,FL1,0,1.20,0.00,立创商城/得捷电子,https://www.qualcomm.com,可选;改善GPS抗干扰性能
11,4G LTE天线,IPEX-1代 FPC软天线,德诺/展讯通/IPEX,SMD IPEX母座+50mmFPC,700-2700MHz 3dBi 50Ω,ANT2,1,3.50,3.50,淘宝/1688,https://item.taobao.com,Cat.1主天线;IPEX-1代接口板端母座+FPC天线
12,SIM卡座,NanoSIM 6P SMD H=1.5mm,摩凯MOLOR/TE,HRS SMD 12×10×1.5mm,Nano SIM 6P 推拉式,J2,1,2.20,2.20,立创商城C29984,https://www.molor.com,Nano SIM尺寸更小;带检测pin
13,USB-C母座,Type-C 16P SMD 沉板,灿科CANCON/精拓,16P SMD 9×7×3mm,USB2.0 仅充电 5V/1A,J1,1,1.80,1.80,立创商城C456187,https://www.cancon.com,16P全针脚;仅用VBUS/GND充电亦可只焊6P简化版
14,SOS按键,TS-1185A 6×6×4.3mm,胜茂/TTC/ALPS,SMD 6×6mm,行程1.5mm 操作力250gf 寿命100k次,SW1,1,0.35,0.35,立创商城C31893,https://www.ttc.com,长行程手感好便于紧急按压
15,蜂鸣器,HYT-8540 8×8×3mm SMD,恒音HYT/SPS,SMD 8×8×3mm,3V 85dB@10cm 4000Hz,BZ1,1,2.80,2.80,立创商城C102592,https://www.hytsound.com,SOS警报;SMD封装减少人工焊接
16,LED红/白双色,SMLP34RGB2W(白)/LTST-C195KGJRKT(红),ROHM/Lite-On,0805(2.0×1.25mm),红色620nm 白5500K 各20mA,D1,D2,2,0.25,0.50,立创商城C131514,https://www.rohm.com,双色独立LED各一颗;红色报警白色状态
17,振动马达,Z4SL2A0410002 4×8mm扁平,金龙Jinlong/泓顺,SMD引线 4×8×2mm,3V 9000RPM 0.5G,M1,1,3.50,3.50,淘宝/1688,https://item.taobao.com,触觉反馈;贴片式扁平马达
18,电池,LP502535 300mAh 3.7V,乔威/格林德/赛尔,28×18×4.5mm,3.7V 300mAh 1.11Wh带保护板,BAT1,1,8.50,8.50,淘宝/1688,https://item.taobao.com,锂聚合物;含过充过放过流保护板;JST 1.25mm 2P插头
19,功率电感,SWPA4020S2R2MT,顺络Sunlord,SMD 4×4×2mm,2.2μH 2.5A DCR≤60mΩ,L1,1,0.25,0.25,立创商城C133579,https://www.sunlordinc.com,DCDC储能电感;UIS8910内置PMU所需
20,功率电感,SWPA3010S4R7MT,顺络Sunlord,SMD 3×3×1mm,4.7μH 1.5A DCR≤100mΩ,L2,1,0.22,0.22,立创商城C133578,https://www.sunlordinc.com,DCDC储能电感2
21,去耦电容MLCC,GRM155R61A105KE15D 1uF,村田Murata,0402(1.0×0.5mm),1μF 10V X5R ±10%,C1-C6,6,0.015,0.09,立创商城C52923,https://www.murata.com,电源去耦;0402节省空间
22,去耦电容MLCC,GRM155R60J106ME47D 10uF,村田Murata,0402(1.0×0.5mm),10μF 6.3V X5R ±20%,C7-C10,4,0.035,0.14,立创商城C139550,https://www.murata.com,大容量去耦
23,滤波电容MLCC,GRM188R71H103KA01D 10nF,村田Murata,0603,10nF 50V X7R,C11-C14,4,0.012,0.048,立创商城C15948,https://www.murata.com,RF滤波
24,高频电容MLCC,GRM1555C1H220JA01D 22pF,村田Murata,0402,22pF 50V C0G/NP0,C15-C18,4,0.015,0.06,立创商城C1803,https://www.murata.com,RF匹配/晶振负载
25,电阻,RC0402JR-0710KL,国巨Yageo,0402,10kΩ ±5% 1/16W,R1-R8,8,0.008,0.064,立创商城C25778,https://www.yageo.com,上拉/下拉
26,电阻,RC0402FR-071KL,国巨Yageo,0402,1kΩ ±1% 1/16W,R9-R10,2,0.01,0.02,立创商城C25076,https://www.yageo.com,LED限流
27,电阻,RC0402JR-070RL,国巨Yageo,0402,0Ω ±5% 1/16W,R11-R12,2,0.008,0.016,立创商城C25084,https://www.yageo.com,跳线/天线0Ω
28,电阻,RC0402FR-0747KL,国巨Yageo,0402,47kΩ ±1% 1/16W,R13-R14,2,0.01,0.02,立创商城C25848,https://www.yageo.com,电池NTC分压
29,ESD保护,TUCS2S5V0B 5V,SPSEMI/TECH PUBLIC,SOD-523,5V 双向ESD保护 ±30kV,D3-D8,6,0.06,0.36,立创商城C2906929,https://www.spsemi.cn,USB/SIM/天线接口ESD保护
30,TVS管,PESD5V0L1BA,Nexperia,SOD-323,5V 低电容ESD保护,D9-D10,2,0.18,0.36,立创商城C49775,https://www.nexperia.com,RFFE电源保护
31,电池连接器,PH1.25 2P 立贴,燊源/JST,1.25mm 2P SMD,J3,1,0.30,0.30,立创商城C277722,https://www.jst.com,电池接口板端母座
32,测试点,TP-1.0mm圆形焊盘,/,1.0mm焊盘,电源/调试测试点,TP1-TP6,6,0.02,0.12,/,/,PCB预留测试焊盘
33,PCB,4层板FR4 32×22×1.6mm,嘉立创/华秋,32×22×1.6mm,4层 FR4 1oz铜 绿油,PCB,1,6.00,6.00,嘉立创/华秋DFM,https://www.jlc.com,批量1000pcs PCB单价约6元
